,name,rating,review_count,Zip,Median Income,Poverty Rate,Minority Rate,acres
59,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,0.1541724
60,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,11.98600342
61,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,73.13153765
62,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,0.542966
63,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,41.87606838
64,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,38.04526101
65,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,2.454952
66,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,2.28283093
67,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,14.02715066
68,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,47.68501105
69,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,11.5556287
70,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,96.6712614
71,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,7.32965761
72,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,2.00553845
73,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,3.30825319
74,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,79.60674946
75,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,14.84627181
76,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,35.32293805
77,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,3.70024777
78,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,40.54946733
79,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,55.53205533
80,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,1.67445033
81,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,427.99853574
82,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,1.5020777
83,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,198.28575823
84,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,73.30296071
85,Black Mountain Open Space Park,4.0,48,92129,105708,0.04649434950924804,0.48121387283236994,41.00528203
